 n, insertion_cmp, insertion_swaps, insertion_time, Mergesort_cmp, Mergesort_swaps, Mergesort_time, Bubblesort_cmp, Bubblesort_swaps, Bubblesort_time
 0,             0,               0,              1,             1,               0,              0,              0,                0,               0
 1,             0,               0,              0,             1,               0,              0,              0,                0,               0
 2,             1,               0,              0,            10,               2,              2,              0,                0,               0
 3,             2,               0,              0,            20,               5,              3,              0,                0,               0
 4,             4,               1,              1,            33,               8,              4,              0,                1,               1
 5,             8,               5,              1,            49,              12,              6,              0,                5,               2
 6,            13,               9,              2,            64,              16,              7,              0,                9,               2
 7,            15,              10,              2,            79,              20,              8,              0,               10,               2
 8,            17,              11,              2,            92,              24,             17,              0,               11,               2
 9,            20,              13,              2,           107,              29,              9,              0,               13,               2
10,            21,              13,              3,           126,              34,             10,              0,               13,               2
